Question,Answer
What is the time period referred to in the given historical text?,The Vedic period.
When was the Vedic literature composed?,c. 1500 – c. 900 BCE
What formed the basis of the influential Brahmanical ideology during the Vedic period?,The Vedas
What was the primary way of life for the early Indo-Aryans?,Pastoral
When did the Aryan culture spread eastward to the fertile western Ganges Plain?,Around c. 1200–1000 BCE
When did the Aryan culture spread eastward to the fertile western Ganges Plain?,c. 1200–1000 BCE
What kind of tools were adopted during this time period?,Iron tools
What was the era during which a hierarchy of social classes emerged?,The Vedic period.
When is the early Vedic age historically dated to?,The second half of the second millennium BCE.
When did the Indus Valley Civilisation collapse?,Around 1900 BCE.
From which culture did the Indo-Aryans originate?,The Sintashta culture.
When did the Iranian migrations into Iran occur?,Approximately 800 BCE.
"When was the Rigveda-samhita, the oldest layer of the Vedas, composed?",Around 1400-1000 BCE.
When was the oldest layer of the Vedas composed?,c. 1400–1000 BCE.
Where did the Old Indic religion probably emerge among Indo-European immigrants?,In the contact zone between the Zeravshan River (present-day Uzbekistan) and Tajikistan.
What religious beliefs and practices did the Rigveda borrow from?,The Bactria–Margiana culture.
Who do the Dasas and Dasyus not perform sacrifices for in the Rigveda?,The gods.
Who connect the Dasas and Dasyus to Iranian tribes Dahae and Dahyu?,Asko Parpola
Where did the Battle of the Ten Kings take place?,On the banks of the river Parushni (modern day Ravi)
Who led the tribe Bharatas in the battle?,Sudas
What was the result of the Battle of Ten Kings for Sudas?,He emerged victorious.
What happened after the war according to the historical text?,"The Bharatas and the Purus merged into a new tribe, the Kuru."
Why did Vedic leaders maintain trade routes beyond the Hindu Kush?,Because horses needed for cavalry and sacrifice could not be bred in India.
When did the use of iron axes and ploughs become widespread?,After 1000 BCE.
What culture is associated with the Vedic religion?,Painted Grey Ware.
What was the hierarchical order of estates in ancient India during the Vedic period?,"Four: Brahmin priests and warrior nobility, free peasants and traders, slaves, labourers and artisans."
Which social classes were considered the lowest in the Vedic period's varna system?,"Slaves, labourers and artisans."
Who were the two key figures in the development of the Kuru state?,Parikshit and Janamejaya
What was the most well-known new religious sacrifice that arose during this period?,The Ashvamedha (horse sacrifice)
Who did the horse belong to?,The king
In which kingdom did the political center of Vedic culture shift after the defeat of the Kuru kingdom?,Panchala
